Lexical item;Level;Topic 1;Subtopic 1
Helado de vainilla;A1-A2;Alimentación;En el restaurante
Helar;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Helicóptero;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Helio;B2;Ciencia y tecnología;Ciencia y tecnología
Hemisferio Norte;A1-A2;Geografía y naturaleza;Estaciones
Hemisferio Sur;A1-A2;Geografía y naturaleza;Estaciones
Heredar;B2;Individuo y relaciones personales;Relaciones familiares
Heredero;B2;Individuo y relaciones personales;Relaciones familiares
Herida;B1;Salud y cuidados personales;En el hospital
Herida;B2;Salud y cuidados personales;Salud y enfermedad
Herida profunda;B2;Salud y cuidados personales;Salud y enfermedad
Herida superficial;B2;Salud y cuidados personales;Salud y enfermedad
Herido;B2;Salud y cuidados personales;Salud y enfermedad
Herir la sensibilidad;B2;Salud y cuidados personales;Salud y enfermedad
Hermano;A1-A2;Individuo y relaciones personales;Familia
Hervido;B1;Alimentación;Alimentación sana / menús, platos, recetas
Hervir;B1;Alimentación;Alimentación sana / menús, platos, recetas
Heterogéneo;B2;Artes;Artes plásticas
Hidratación;B2;Salud y cuidados personales;Higiene y belleza
Hidratos de carbono;B1;Alimentación;Alimentación sana / menús, platos, recetas
Hidrógeno;B2;Ciencia y tecnología;Ciencia y tecnología
Hidromasaje;B2;Salud y cuidados personales;Higiene y belleza
Hielo;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Hierba;B1;Geografía y naturaleza;En el campo
Hierro;B2;Alimentación;Alimentación nutritiva
Hígado;B2;Individuo y relaciones personales;Sensaciones y percepciones
Hijo;A1-A2;Individuo y relaciones personales;Familia
Hijo adoptivo;B2;Individuo y relaciones personales;Relaciones familiares
Hijo único;A1-A2;Individuo y relaciones personales;Familia
Hijos adoptivos;B1;Individuo y relaciones personales;Relaciones personales
Hipertensión;B2;Salud y cuidados personales;Salud y enfermedad
Hipoteca;B1;Vivienda;Vivienda
Hipoteca;B2;Economía;Economía y finanzas
Hipoteca;B2;Vivienda;La vivienda
Hipoteca ;B1;Economía;Economía
Hipotenusa;B2;Ciencia y tecnología;Ciencia y tecnología
Hipótesis;B2;Ciencia y tecnología;Ciencia y tecnología
Hockey sobre hielo;B1;Ocio;Deportes de invierno y aventura
Hoja;A1-A2;Geografía y naturaleza;Animales y plantas
Hoja;B1;Geografía y naturaleza;En el campo
Hoja de papel;A1-A2;Educación;Objetos y acciones del aula
Hola;A1-A2;Relaciones sociales;Saludos
Hombre;A1-A2;Compras y tiendas;Ropa
Hombro;B1;Salud y cuidados personales;El cuerpo humano y la salud
Homeopático;B2;Salud y cuidados personales;Salud y enfermedad
Honduras;A1-A2;Ocio;Países de habla hispana y nacionalidades
Hondureño;A1-A2;Ocio;Países de habla hispana y nacionalidades
Hora ;A1-A2;Fecha y hora;Hora
Horario;A1-A2;Trabajo;Profesiones
Horario;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Horario flexible;B1;Trabajo;Trabajo
Horizontal;B2;Ciencia y tecnología;Ciencia y tecnología
Horneado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Horno;A1-A2;Vivienda;Cocina
Hortaliza;B1;Geografía y naturaleza;En el campo
Hortaliza ;B1;Alimentación;Alimentación sana / menús, platos, recetas
Hospital;A1-A2;Salud e higiene;En el centro de salud
Hostal ;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Huelga;B1;Trabajo;Trabajo
Huella;B2;Justicia;Ley y orden
Huerta;B1;Geografía y naturaleza;En el campo
Huerto;B1;Geografía y naturaleza;En el campo
Hueso;B1;Salud y cuidados personales;El cuerpo humano y la salud
Huevo;A1-A2;Alimentación;Alimentos
Huevo ;B1;Alimentación;Alimentación sana / menús, platos, recetas
Huevo frito;A1-A2;Alimentación;En el restaurante
Humano;A1-A2;Individuo y relaciones personales;Carácter
Húmedo;A1-A2;Geografía y naturaleza;Accidentes geográficos
Humo ;B1;Medioambiente;Problemas medioambientales
Huracán;B1;Medioambiente;Desastres naturales
Hurgar en la herida;B2;Salud y cuidados personales;Salud y enfermedad
Hurto;B1;Justicia;En el juzgado
Huso horario;A1-A2;Fecha y hora;Hora
Identificar huellas;B2;Justicia;Ley y orden
Iglesia;A1-A2;Ciudad;Ciudad
Iglesia;B1;Artes;Arquitectura, escultura, pintura
Ilegal;B1;Justicia;En el juzgado
Impaciente;B1;Individuo y relaciones personales;Cáracter y personalidad
Impacto medioambiental;B2;Medioambiente;Problemas medioambientales
Impresionismo;B2;Artes;Artes plásticas
Impresionista;B2;Artes;Artes plásticas
Impresora;A1-A2;Trabajo;En la oficina
Imprimir;B1;Geografía y naturaleza;Safari fotográfico
Imprimir;B2;Artes;Cine y fotografía
Incendio forestal;B1;Medioambiente;Desastres naturales
Incidencia;B2;Viajes, alojamiento y transportes;Viajes y transportes
Incorporación inmediata;B1;Trabajo;Trabajo
Indemnización;B2;Viajes, alojamiento y transportes;Viajes y transportes
Indicar una maniobra;B1;Viajes, alojamiento y transporte;La conducción
Indigesto;B2;Alimentación;Alimentación nutritiva
Indignado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Industrial;B2;Medioambiente;Problemas medioambientales
Infarto;B2;Salud y cuidados personales;Salud y enfermedad
Infección;A1-A2;Salud e higiene;En el centro de salud
Inflamado;B2;Individuo y relaciones personales;Sensaciones y percepciones
Información;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Informativos;B1;Ocio;Tiempo libre y entretenimiento
Informativos;B2;Comunicación;Medios de comunicación
Infusión;A1-A2;Alimentación;En el restaurante
Infusión;B1;Alimentación;Alimentación sana / menús, platos, recetas
Ingrediente;A1-A2;Alimentación;En el restaurante
Ingredientes;B1;Alimentación;Alimentación sana / menús, platos, recetas
Ingresos;B2;Economía;Economía y finanzas
Inmueble;B2;Vivienda;La vivienda
Inocente;B2;Justicia;Ley y orden
Inodoro;A1-A2;Vivienda;Cuarto de baño
Inquilino;B1;Vivienda;Vivienda
Inquilino;B2;Vivienda;La vivienda
Inscribirse;B1;Ocio;Tiempo libre y entretenimiento
Inseguro;B1;Individuo y relaciones personales;Cáracter y personalidad
Insípido;B2;Alimentación;Alimentación nutritiva
Inspector;B2;Justicia;Ley y orden
Instalación eléctrica ;B2;Vivienda;La vivienda
Instalaciones deportivas;B2;Ocio;Deportes
Instalar;B2;Comunicación;Comunicación personal
Instalar un programa;B1;Medios de comunicación;Internet
Instrucción;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Instrumento de cuerda ;B1;Artes;Música y danza
Instrumento de percusión ;B1;Artes;Música y danza
Instrumento de viento;B1;Artes;Música y danza
Insultar ;B1;Justicia;En el juzgado
Insulto ;B1;Justicia;En el juzgado
Inteligente;A1-A2;Individuo y relaciones personales;Carácter
Intercambiador;B2;Viajes, alojamiento y transportes;Viajes y transportes
Intercambiar;B1;Medios de comunicación;Internet
Intercambio;B1;Educación;Educación
Interés fijo;B2;Economía;Economía y finanzas
Interés fijo ;B1;Economía;Economía
Interés variable;B1;Economía;Economía
Interés variable;B2;Economía;Economía y finanzas
Intereses;B2;Economía;Economía y finanzas
Interior;A1-A2;Geografía y naturaleza;Accidentes geográficos
Internet;B2;Comunicación;Comunicación personal
Interrogar;B2;Justicia;Ley y orden
Interruptor;B2;Vivienda;La vivienda
Interurbano;B2;Viajes, alojamiento y transportes;Viajes y transportes
Intestino;B2;Individuo y relaciones personales;Sensaciones y percepciones
Intranquilo;B1;Individuo y relaciones personales;Cáracter y personalidad
Introvertido;B1;Individuo y relaciones personales;Cáracter y personalidad
Inundación;B1;Medioambiente;Desastres naturales
Invernadero;B1;Geografía y naturaleza;En el campo
Inversión a largo plazo;B2;Economía;Economía y finanzas
Invertir;B2;Economía;Economía y finanzas
Invierno;A1-A2;Geografía y naturaleza;Estaciones
Invitación;B1;Individuo y relaciones personales;Celebraciones
Invitado;B1;Individuo y relaciones personales;Celebraciones
Invitar ;B1;Individuo y relaciones personales;Celebraciones
Inyección;B2;Salud y cuidados personales;Salud y enfermedad
Ir a la compra;A1-A2;Alimentación;Alimentos
Ir a trabajar;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Ir al gimnasio;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Ir bien con;B1;Compras y tiendas;Ropa, calzado y complementos
Ir bien con todo;B1;Compras y tiendas;Ropa, calzado y complementos
Ir de compras ;A1-A2;Ocio;Aficiones y espectáculos
Ir de excursión;B1;Ocio;Tiempo libre y entretenimiento
Ir de marcha;B1;Ocio;Tiempo libre y entretenimiento
Ir de tapas;B1;Ocio;Tiempo libre y entretenimiento
Ir de vacaciones;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Írsele el santo al cielo;B2;Educación;Educación
Isla;A1-A2;Geografía y naturaleza;Accidentes geográficos
Jabón;A1-A2;Salud e higiene;Cuerpo e higiene personal
Jamón serrano;A1-A2;Alimentación;Alimentos
Jardín;A1-A2;Vivienda;Casa
Jardín;B1;Geografía y naturaleza;En el campo
Jardinera;B1;Geografía y naturaleza;En el campo
Jardinería ;B1;Ocio;Tiempo libre y entretenimiento
Jardinero;A1-A2;Trabajo;Profesiones
Jarra;A1-A2;Alimentación;Utensilios de cocina y de mesa
Jarra de agua;A1-A2;Alimentación;Utensilios de cocina y de mesa
Jaula;B1;Geografía y naturaleza;Safari fotográfico
Jeans;A1-A2;Compras y tiendas;Ropa
Jefe;A1-A2;Trabajo;Profesiones
Jersey;A1-A2;Compras y tiendas;Ropa
Jirafa;B1;Geografía y naturaleza;Safari fotográfico
Joven ;A1-A2;Individuo y relaciones personales;Descripción física
Jubilación;B1;Trabajo;Trabajo
Jubilación anticipada;B1;Trabajo;Trabajo
Jubilado;A1-A2;Trabajo;Profesiones
Jubilarse ;B1;Trabajo;Trabajo
Judía;B1;Alimentación;Alimentación sana / menús, platos, recetas
Judo ;B2;Ocio;Deportes
Juego de azar ;B2;Ocio;Juegos y pasatiempos
Juego de ingenio ;B2;Ocio;Juegos y pasatiempos
Juego de mesa ;B2;Ocio;Juegos y pasatiempos
Juego de naipes;B2;Ocio;Juegos y pasatiempos
Juegos olímpicos;B2;Ocio;Deportes
Jueves;A1-A2;Fecha y hora;Días de la semana
Juez ;B1;Justicia;En el juzgado
Jugada;B2;Ocio;Juegos y pasatiempos
Jugador;B1;Ocio;Deportes de equipo
Jugador ;A1-A2;Ocio;Deportes
Jugador de hockey;B1;Ocio;Deportes de invierno y aventura
Jugar;A1-A2;Ocio;Deportes
Jugar;B1;Ocio;Deportes de equipo
Jugar limpio;B2;Ocio;Juegos y pasatiempos
Jugar una partida;B2;Ocio;Juegos y pasatiempos
Jugo;A1-A2;Alimentación;En el restaurante
Jugoso;B2;Alimentación;Alimentación nutritiva
Juicio ;B1;Justicia;En el juzgado
Juicio oral;B2;Justicia;Ley y orden
Julio;A1-A2;Fecha y hora;Meses
Junio;A1-A2;Fecha y hora;Meses
Junto;A1-A2;Información y medios de comunicación;Localización
Junto ;A1-A2;Trabajo;En la oficina
Junto a;A1-A2;Trabajo;En la oficina
Junto a ;A1-A2;Información y medios de comunicación;Localización
Juzgado ;B1;Justicia;En el juzgado
Juzgado ;B2;Justicia;Ley y orden
Juzgar ;B1;Justicia;En el juzgado
Kilo;A1-A2;Alimentación;Alimentos
Kilogramo ;B1;Formas y medidas;Formas y medidas
Kilómetro;B1;Formas y medidas;Formas y medidas
Kilómetro cuadrado ;B1;Formas y medidas;Formas y medidas
La ocasión la pintan calva;B2;Artes;Artes plásticas
Labio;B1;Salud y cuidados personales;El cuerpo humano y la salud
Labios;A1-A2;Salud e higiene;Cuerpo e higiene personal
Laboratorio;B1;Educación;Educación
Lácteos;B1;Alimentación;Alimentación sana / menús, platos, recetas
Lado;B1;Formas y medidas;Formas y medidas
Ladrillo;B1;Artes;Arquitectura, escultura, pintura
Ladrillo ;B2;Vivienda;La vivienda
Ladrón;B1;Justicia;En el juzgado
Ladrón;B2;Justicia;Ley y orden
Ladrón de guante blanco;B2;Justicia;Ley y orden
Lago;A1-A2;Geografía y naturaleza;Accidentes geográficos
Lamentarse;B2;Individuo y relaciones personales;Valores y comportamientos personales
Lámpara;A1-A2;Vivienda;Salón
Lámpara de pie;A1-A2;Vivienda;Salón
Lámpara de techo;A1-A2;Vivienda;Salón
Lana ;B1;Compras y tiendas;Ropa, calzado y complementos
Langosta;B2;Alimentación;Alimentación nutritiva
Langostino;B2;Alimentación;Alimentación nutritiva
Lanzamiento de peso;B2;Ocio;Deportes
Lápiz ;A1-A2;Educación;Objetos y acciones del aula
Largo;B1;Formas y medidas;Formas y medidas
Largometraje;B2;Artes;Cine y fotografía
Lata;A1-A2;Alimentación;Utensilios de cocina y de mesa
Lata ;B1;Medioambiente;Problemas medioambientales
Lata de refresco;A1-A2;Alimentación;Alimentos
Lava ;B1;Medioambiente;Desastres naturales
Lavabo;A1-A2;Vivienda;Cuarto de baño
Lavadora;A1-A2;Vivienda;Cocina
Lavaplatos;A1-A2;Vivienda;Cocina
Lavar;A1-A2;Vivienda;Cocina
Lavarse;A1-A2;Vivienda;Cuarto de baño
Lavarse el pelo;A1-A2;Salud e higiene;Cuerpo e higiene personal
Lavarse los dientes;A1-A2;Salud e higiene;Cuerpo e higiene personal
Lavavajillas;A1-A2;Vivienda;Cocina
Leche;A1-A2;Alimentación;Alimentos
Leche;A1-A2;Alimentación;En el restaurante
Leche;B1;Alimentación;Alimentación sana / menús, platos, recetas
Lechuga;A1-A2;Alimentación;Alimentos
Leer ;A1-A2;Ocio;Aficiones y espectáculos
Leer un libro;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Leer una revista;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Legumbre;B1;Alimentación;Alimentación sana / menús, platos, recetas
Lengua;B2;Individuo y relaciones personales;Sensaciones y percepciones
Lenguado;B2;Alimentación;Alimentación nutritiva
Lenteja;B1;Alimentación;Alimentación sana / menús, platos, recetas
León;B1;Geografía y naturaleza;Safari fotográfico
Lesión;B2;Individuo y relaciones personales;Sensaciones y percepciones
Lesión;B2;Ocio;Deportes
Lesionarse;B2;Ocio;Deportes
Letra;B1;Artes;Música y danza
Letra de una canción;B1;Artes;Música y danza
Levantamiento de pesas ;B1;Salud y cuidados personales;El cuerpo humano y la salud
Levantar los brazos ;B1;Salud y cuidados personales;El cuerpo humano y la salud
Levantar pesas;B1;Salud y cuidados personales;El cuerpo humano y la salud
Levantarse;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Ley;B2;Justicia;Ley y orden
Liberal;B1;Individuo y relaciones personales;Cáracter y personalidad
Libertad de expresión;B2;Comunicación;Medios de comunicación
Libertad de prensa;B2;Comunicación;Medios de comunicación
Libro ;A1-A2;Educación;Objetos y acciones del aula
Libro de reclamaciones;B2;Compras y tiendas;De compras
Licenciado;B1;Educación;Educación
Licenciado;B2;Educación;Educación
Licenciatura;B1;Educación;Educación
Licor;B1;Alimentación;Alimentación sana / menús, platos, recetas
Lienzo;B2;Artes;Artes plásticas
Liga;B2;Ocio;Deportes
Ligero;B2;Alimentación;Alimentación nutritiva
Lima ;B1;Salud y cuidados personales;El cuerpo humano y la salud
Limarse las uñas;B1;Salud y cuidados personales;El cuerpo humano y la salud
Limón;B1;Alimentación;Alimentación sana / menús, platos, recetas
Limpiar el polvo;B1;Labores domésticas;Labores domésticas
Lindo ;A1-A2;Individuo y relaciones personales;Descripción física
Línea;B2;Artes;Artes plásticas
Línea;B2;Ciencia y tecnología;Ciencia y tecnología
Línea ADSL;B1;Medios de comunicación;Internet
Línea ocupada;A1-A2;Información y medios de comunicación;Teléfono
Líneas de autobuses;B2;Viajes, alojamiento y transportes;Viajes y transportes
Lino;B1;Compras y tiendas;Ropa, calzado y complementos
Liso;B1;Compras y tiendas;Ropa, calzado y complementos
Lista de distribución;B2;Comunicación;Comunicación personal
Lista de invitados;B1;Individuo y relaciones personales;Celebraciones
Literario;B2;Artes;Literatura y teatro
Literatura;B1;Artes;Literatura
Literatura;B2;Artes;Literatura y teatro
Literatura ;A1-A2;Ocio;Aficiones y espectáculos
Litro;A1-A2;Alimentación;Alimentos
Litro;B1;Formas y medidas;Formas y medidas
Llamada ;A1-A2;Información y medios de comunicación;Teléfono
Llamada interurbana;B2;Comunicación;Comunicación personal
Llamadas internacionales;B2;Comunicación;Comunicación personal
Llamar ;B1;Medios de comunicación;Teléfono
Llamar por teléfono;A1-A2;Información y medios de comunicación;Teléfono
Llave ;A1-A2;Viajes, transportes y alojamiento;En el hotel
Llegada;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Llenarse de orgullo;B2;Individuo y relaciones personales;Valores y comportamientos personales
Llevar;A1-A2;Compras y tiendas;Ropa
Llevar ;B1;Compras y tiendas;Ropa, calzado y complementos
Llevar a juicio;B2;Justicia;Ley y orden
Llevar años cotizados;B2;Trabajo;Actividad laboral
Llevar años en paro;B2;Trabajo;Actividad laboral
Llevar años juntos;B1;Individuo y relaciones personales;Relaciones personales
Llevar barba;A1-A2;Individuo y relaciones personales;Descripción física
Llevar bigote;A1-A2;Individuo y relaciones personales;Descripción física
Llevar gafas;A1-A2;Individuo y relaciones personales;Descripción física
Llevar un vestido;A1-A2;Compras y tiendas;Ropa
Llevarse;B1;Compras y tiendas;Ropa, calzado y complementos
Llevarse bien;B1;Individuo y relaciones personales;Relaciones personales
Llevarse como hermanos;B2;Individuo y relaciones personales;Relaciones familiares
Llevarse mal;B1;Individuo y relaciones personales;Relaciones personales
Llevarse mucho;B1;Compras y tiendas;Ropa, calzado y complementos
Llover;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Lluvia;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Lluvia ácida;B1;Medioambiente;Problemas medioambientales
Lluvia ácida ;B2;Medioambiente;Problemas medioambientales
Localización;B2;Artes;Cine y fotografía
Locutor;B1;Ocio;Tiempo libre y entretenimiento
Lógica ;B2;Ocio;Juegos y pasatiempos
Lomo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Loncha de jamón;A1-A2;Alimentación;Alimentos
Loncha de queso;A1-A2;Alimentación;Alimentos
Loro;A1-A2;Geografía y naturaleza;Animales y plantas
Lotería ;B2;Ocio;Juegos y pasatiempos
Lubina;B2;Alimentación;Alimentación nutritiva
Luchas intestinas;B2;Individuo y relaciones personales;Sensaciones y percepciones
Lugar;A1-A2;Ciudad;Ciudad
Luminoso;B1;Vivienda;Vivienda
Luna;A1-A2;Geografía y naturaleza;Estaciones
Luna de miel;B1;Individuo y relaciones personales;Celebraciones
Lunes;A1-A2;Fecha y hora;Días de la semana
Luz;A1-A2;Vivienda;Salón
Luz;B1;Vivienda;Vivienda
Macarrones;A1-A2;Alimentación;Alimentos
Maceta;B1;Geografía y naturaleza;En el campo
Madalena;B1;Alimentación;Alimentación sana / menús, platos, recetas
Madera;B1;Artes;Arquitectura, escultura, pintura
Madre;A1-A2;Individuo y relaciones personales;Familia
Maduro;A1-A2;Individuo y relaciones personales;Carácter
Maestría;B1;Educación;Educación
Magro de cerdo;B2;Alimentación;Alimentación nutritiva
Mal tiempo;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Malas vistas;B1;Vivienda;Vivienda
Malestar;B2;Salud y cuidados personales;Salud y enfermedad
Maleta;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Maleta ;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Mamá;A1-A2;Individuo y relaciones personales;Familia
Mamífero;B1;Geografía y naturaleza;Safari fotográfico
Mancha;B2;Salud y cuidados personales;Higiene y belleza
Mandar una carta;B1;Servicios;Servicio postal
Manejar software libre;B2;Comunicación;Comunicación personal
Maniobra;B1;Viajes, alojamiento y transporte;La conducción
Maniobra de giro a la izquierda;B1;Viajes, alojamiento y transporte;La conducción
Mano;A1-A2;Salud e higiene;Cuerpo e higiene personal
Manta;A1-A2;Vivienda;Dormitorio
Mantel;A1-A2;Alimentación;Utensilios de cocina y de mesa
Mantener el contacto;B2;Comunicación;Comunicación personal
Mantenerse en forma;B1;Salud y cuidados personales;El cuerpo humano y la salud
Mantenimiento;B1;Vivienda;Vivienda
Mantenimiento;B2;Viajes, alojamiento y transportes;Viajes y transportes
Mantequilla;A1-A2;Alimentación;Alimentos
Mantequilla;B1;Alimentación;Alimentación sana / menús, platos, recetas
Manzana;A1-A2;Alimentación;Alimentos
Manzano;B1;Geografía y naturaleza;En el campo
Mapa;A1-A2;Educación;Objetos y acciones del aula
Mapa de carretera;B1;Viajes, alojamiento y transporte;La conducción
Maquillador;B2;Artes;Cine y fotografía
Maquillarse;B1;Salud y cuidados personales;El cuerpo humano y la salud
Maquinilla de afeitar;A1-A2;Salud e higiene;Cuerpo e higiene personal
Mar;A1-A2;Geografía y naturaleza;Accidentes geográficos
Marcar un gol;B1;Ocio;Deportes de equipo
Marcar un número de teléfono;A1-A2;Información y medios de comunicación;Teléfono
Marco;B2;Vivienda;La vivienda
Marea negra;B2;Medioambiente;Problemas medioambientales
Mareado;B1;Salud y cuidados personales;En el hospital
Maremoto;B1;Medioambiente;Desastres naturales
Mareo;B2;Salud y cuidados personales;Salud y enfermedad
Marido;A1-A2;Individuo y relaciones personales;Familia
Marisco;B1;Alimentación;Alimentación sana / menús, platos, recetas
Mármol;B1;Artes;Arquitectura, escultura, pintura
Mármol;B2;Artes;Artes plásticas
Martes;A1-A2;Fecha y hora;Días de la semana
Marzo;A1-A2;Fecha y hora;Meses
Masaje;B2;Salud y cuidados personales;Higiene y belleza
Masaje relajante;B2;Salud y cuidados personales;Higiene y belleza
Mascota;B1;Geografía y naturaleza;Safari fotográfico
Máster ;B1;Educación;Educación
Masticar;B2;Alimentación;Alimentación nutritiva
Materia ;B1;Educación;Educación
Materia ;B2;Ciencia y tecnología;Ciencia y tecnología
Materia obligatoria;B2;Educación;Educación
Matiz;B2;Artes;Artes plásticas
Matrícula ;B1;Educación;Educación
Matricularse;B1;Educación;Educación
Matrimonio;A1-A2;Individuo y relaciones personales;Familia
Matrimonio;B1;Individuo y relaciones personales;Relaciones personales
Mayo;A1-A2;Fecha y hora;Meses
Mayonesa;A1-A2;Alimentación;En el restaurante
Mecánico;A1-A2;Trabajo;Profesiones
Medalla;B2;Ocio;Deportes
Media pensión;A1-A2;Viajes, transportes y alojamiento;En el hotel
Medias;A1-A2;Compras y tiendas;Ropa
Medicamento;A1-A2;Salud e higiene;En el centro de salud
Medicamento genérico;B2;Salud y cuidados personales;Salud y enfermedad
Medicina;A1-A2;Salud e higiene;En el centro de salud
Médico;A1-A2;Trabajo;Profesiones
Medida de seguridad;B2;Justicia;Ley y orden
Medio ambiente;B1;Medioambiente;Problemas medioambientales
Medioambiente;B1;Medioambiente;Problemas medioambientales
Medioambiente;B2;Medioambiente;Problemas medioambientales
Medir la luz;B1;Geografía y naturaleza;Safari fotográfico
Mejillón;B2;Alimentación;Alimentación nutritiva
Melena suelta ;B2;Salud y cuidados personales;Higiene y belleza
Mellizo;B2;Individuo y relaciones personales;Relaciones familiares
Melón;A1-A2;Alimentación;Alimentos
Melón ;A1-A2;Alimentación;En el restaurante
Memorias;B1;Artes;Literatura
Memorizar;A1-A2;Educación;Objetos y acciones del aula
Memorizar;B1;Educación;Educación
Menestra de verduras;A1-A2;Alimentación;En el restaurante
Mensaje;A1-A2;Información y medios de comunicación;Internet
Mensaje de texto;B1;Medios de comunicación;Teléfono
Mensajero;B1;Servicios;Servicio postal
Mensual ;B1;Economía;Economía
Mentiroso;B1;Individuo y relaciones personales;Cáracter y personalidad
Menú;B1;Alimentación;Alimentación sana / menús, platos, recetas
Menú del día;B1;Alimentación;Alimentación sana / menús, platos, recetas
Menú del día ;A1-A2;Alimentación;En el restaurante
Mercado;A1-A2;Alimentación;Alimentos
Mercado financiero;B2;Economía;Economía y finanzas
Mercado Inmobiliario;B2;Vivienda;La vivienda
Mercancía;B2;Compras y tiendas;De compras
Merengue;B1;Alimentación;Alimentación sana / menús, platos, recetas
Merluza;A1-A2;Alimentación;Alimentos
Merluza ;A1-A2;Alimentación;En el restaurante
Mermelada;A1-A2;Alimentación;Alimentos
Mesa;A1-A2;Alimentación;Utensilios de cocina y de mesa
Mesa;A1-A2;Trabajo;En la oficina
Mesilla de noche;A1-A2;Vivienda;Dormitorio
Meterse en camisa de once varas;B2;Compras y tiendas;De compras
Metro;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Metro ;B1;Formas y medidas;Formas y medidas
Metro cuadrado;B1;Formas y medidas;Formas y medidas
Metro cúbico;B1;Formas y medidas;Formas y medidas
Metro ligero ;B2;Viajes, alojamiento y transportes;Viajes y transportes
Mexicano;A1-A2;Ocio;Países de habla hispana y nacionalidades
México;A1-A2;Ocio;Países de habla hispana y nacionalidades
Mezclar las cartas;B2;Ocio;Juegos y pasatiempos
Mezquita;A1-A2;Ciudad;Ciudad
Mezquita;B1;Artes;Arquitectura, escultura, pintura
Microondas;A1-A2;Vivienda;Cocina
Miel;B1;Geografía y naturaleza;En el campo
Miércoles;A1-A2;Fecha y hora;Días de la semana
Mil;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Milésimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Mileurista;B2;Trabajo;Actividad laboral
Miligramo;B1;Formas y medidas;Formas y medidas
Milímetro;B1;Formas y medidas;Formas y medidas
Minerales;B1;Alimentación;Alimentación sana / menús, platos, recetas
Minifalda ;B1;Compras y tiendas;Ropa, calzado y complementos
Misa;B1;Individuo y relaciones personales;Celebraciones
Mochila;A1-A2;Compras y tiendas;Complementos y calzados
Mochila;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Moderno;B1;Compras y tiendas;Ropa, calzado y complementos
Moldear;B2;Artes;Artes plásticas
Molécula ;B2;Ciencia y tecnología;Ciencia y tecnología
Molestias;B2;Salud y cuidados personales;Salud y enfermedad
Moneda;B1;Ocio;Tiempo libre y entretenimiento
Moneda ;B1;Economía;Economía
Monitor;B1;Salud y cuidados personales;El cuerpo humano y la salud
Monitor ;B1;Ocio;Deportes de invierno y aventura
Mono;B1;Geografía y naturaleza;Safari fotográfico
Monólogo;B2;Artes;Literatura y teatro
Montaje;B2;Artes;Cine y fotografía
Montaña;A1-A2;Geografía y naturaleza;Accidentes geográficos
Montar en bici;A1-A2;Ocio;Deportes
Monumento;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Morenito;A1-A2;Individuo y relaciones personales;Descripción física
Moreno;A1-A2;Individuo y relaciones personales;Descripción física
Moroso;B2;Vivienda;La vivienda
Mosca;A1-A2;Geografía y naturaleza;Animales y plantas
Mosquito;A1-A2;Geografía y naturaleza;Animales y plantas
Mostrador;A1-A2;Viajes, transportes y alojamiento;En el hotel
Mostrador de facturación;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Moto;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Motor ;B1;Viajes, alojamiento y transporte;La conducción
Mover el cuerpo;B1;Salud y cuidados personales;El cuerpo humano y la salud
Móvil;A1-A2;Información y medios de comunicación;Teléfono
Móvil;B1;Medios de comunicación;Teléfono
Movimiento artístico;B2;Artes;Artes plásticas
Muchas calorías;B2;Alimentación;Alimentación nutritiva
Muchas gracias;A1-A2;Relaciones sociales;Saludos
Mucho gusto;A1-A2;Relaciones sociales;Saludos
Mudanza;B1;Vivienda;Vivienda
Mudarse ;B2;Vivienda;La vivienda
Mudarse de casa;A1-A2;Vivienda;Casa
Mueble;A1-A2;Vivienda;Salón
Muerte ;B1;Justicia;En el juzgado
Muestra ;B2;Artes;Artes plásticas
Mujer;A1-A2;Compras y tiendas;Ropa
Mujer;A1-A2;Individuo y relaciones personales;Familia
Multa ;B1;Justicia;En el juzgado
